Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0057702,0.0055415,0.11835,0,0,0,0.089489,4.6427E-05,-1.5007E-05,6.5003E-09,2.7104E-05,3.622E-08,6.9166E-05,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/base_link.STL,,WristsmallV32-1;WristsmallV31-1;WristlargeV4-1;kama1-1,Origin_joint20,基准轴20,joint20,continuous,0,-0.001891,-0.02808,-2.8239,0,0,link19,1,0,0,,,,,,,,,,,,
link1,0.0029673,0.011408,-0.0071385,0,0,0,0.00094799,3.0473E-08,-1.6995E-09,-7.1895E-10,2.6525E-08,-2.1331E-09,2.0271E-08,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link1.STL,,pinky-1,Origin_joint1,基准轴1,joint1,continuous,0.044064,-0.10985,-0.016457,-1.5708,-0.069621,0,base_link,0,0,-1,,,,,,,,,,,,
link2,-0.000211926923281119,-0.0151633113646847,-0.000738285287891244,0,0,0,0.00269063759841093,1.20242935294969E-07,5.32337315359262E-13,5.86575457813599E-11,8.84498294911988E-08,-1.45278700793005E-09,1.381616089928E-07,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link2.STL,,Auriculaire3-4-1;Auriculaire3-3-1,Origin_joint2,基准轴2,joint2,continuous,0.0038289,0.014543,-0.00881,0,0,2.8842,link1,1,0,0,,,,,,,,,,,,
link3,-0.00904364955402194,0.000937546194051203,-0.000212060583147197,0,0,0,0.00171949897367765,3.71753934995645E-08,-2.65337027579137E-09,3.24180458643964E-12,4.48127214138506E-08,1.87654494640874E-12,4.38545216100238E-08,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link3.STL,,Auriculaire3-5-1;Auriculaire3-6-1,Origin_joint3,基准轴3,joint3,continuous,0,-0.029839,-0.0011674,1.5708,0,1.5708,link2,0,0,-1,,,,,,,,,,,,
link4,-0.000346282036236156,-0.000210613475121767,-0.0095541884336357,0,0,0,0.00142350531394084,3.22795505153294E-08,-1.23670468443233E-11,-2.65188402030117E-09,3.38968763547072E-08,-1.23547713217483E-11,2.48779270626468E-08,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link4.STL,,Auriculaire3-2-1;Paramak ucu Auriculaire3-1,Origin_joint4,基准轴4,joint4,continuous,-0.019171,0.0012502,0,1.5708,0,0.95993,link3,0,-1,0,,,,,,,,,,,,
link5,-0.00128388847113709,0.0132866727228045,0.00793939368481823,0,0,0,0.00157789963722504,6.10942530339738E-08,9.49554696329166E-10,-2.81216710881347E-10,5.13401890117092E-08,2.91173427577847E-09,4.24883755101783E-08,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link5.STL,,ring_finger-1,Origin_joint5,基准轴5,joint5,continuous,0.0219766447714203,-0.10984918453677,-0.0274219605014455,-1.5707963267949,0.0622345070436849,-3.14159265358979,base_link,0,0,-1,,,,,,,,,,,,
link6,-4.83593322211547E-05,-0.0181923155265316,-0.000885783589917338,0,0,0,0.00464662571494519,2.9890284210031E-07,1.38296693897771E-12,1.45516220885504E-10,2.19871298461641E-07,-3.61116458948722E-09,3.43447323682334E-07,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link6.STL,,Parmak index3-4-2;Parmak index3-3-2,Origin_joint6,基准轴6,joint6,continuous,-0.00166971116875515,0.0172630182903683,0.00880955926294877,-3.01260352957191,0,0.0964219229542798,link5,-1,0,0,,,,,,,,,,,,
link7,0.00114972355059678,0.000624828457262569,-5.71127863325388E-07,0,0,0,0.00296941998514358,9.24092840895585E-08,-6.59540342440883E-09,3.6798659003754E-12,1.1137818590291E-07,3.25713539386651E-12,1.09028599484304E-07,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link7.STL,,Parmak index3-5-2;Parmak index3-6-2,Origin_joint7,基准轴7,joint7,fixed,-4.83520540940953E-05,-0.0478,-0.000900544274470352,1.5707963267949,0,1.5707963267949,link6,0,0,0,,,,,,,,,,,,
link8,-0.00041554664380479,1.45045912930755E-06,-0.0114619858620957,0,0,0,0.00245824506155157,8.02341378648483E-08,-3.04055380981731E-11,-6.59429594220057E-09,8.42544381573884E-08,-3.26348338947897E-11,6.18413521480346E-08,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link8.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link8.STL,,Parmak index3-2-2;Parmak ucu index3-2,Origin_joint8,基准轴8,joint8,continuous,-0.011,0.001,0,1.5707963267949,0,1.57079632679491,link7,0,-1,0,,,,,,,,,,,,
link9,-0.00030250621326541,-0.0169696100118578,0.00733130721594823,0,0,0,0.00242477157072776,1.30108488801237E-07,-1.85792554268557E-09,-5.17922988528539E-12,8.79041117497421E-08,3.56337182704225E-10,1.19630259954236E-07,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link9.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link9.STL,,middle_finger-1,Origin_joint9,基准轴9,joint9,continuous,-0.00712182270798424,-0.109808743799716,-0.0296044255799715,1.5707963267949,-0.0572092712069291,0,base_link,0,0,1,,,,,,,,,,,,
